ts_utc,zone,series,value,source
2023-01-15T06:00:00,DE-LU,price.day_ahead,1.74,energy_charts
2023-01-15T07:00:00,DE-LU,price.day_ahead,9.08,energy_charts
2023-01-15T08:00:00,DE-LU,price.day_ahead,10.31,energy_charts
2023-01-15T09:00:00,DE-LU,price.day_ahead,9.01,energy_charts
2023-01-15T10:00:00,DE-LU,price.day_ahead,8.03,energy_charts
2023-01-15T11:00:00,DE-LU,price.day_ahead,6.76,energy_charts
2023-01-15T12:00:00,DE-LU,price.day_ahead,0.42,energy_charts
2023-01-15T13:00:00,DE-LU,price.day_ahead,0.29,energy_charts
2023-01-15T14:00:00,DE-LU,price.day_ahead,0.32,energy_charts
2023-01-15T15:00:00,DE-LU,price.day_ahead,0.46,energy_charts
2023-01-15T16:00:00,DE-LU,price.day_ahead,1.25,energy_charts
2023-01-15T17:00:00,DE-LU,price.day_ahead,26.95,energy_charts
2023-01-15T18:00:00,DE-LU,price.day_ahead,25.27,energy_charts
2023-01-15T19:00:00,DE-LU,price.day_ahead,12.17,energy_charts
2023-01-15T20:00:00,DE-LU,price.day_ahead,19.69,energy_charts
2023-01-15T21:00:00,DE-LU,price.day_ahead,32.14,energy_charts
2023-01-15T22:00:00,DE-LU,price.day_ahead,37.47,energy_charts
2023-01-15T23:00:00,DE-LU,price.day_ahead,60.01,energy_charts
2023-01-16T00:00:00,DE-LU,price.day_ahead,60.01,energy_charts
2023-01-16T01:00:00,DE-LU,price.day_ahead,62.72,energy_charts
2023-01-16T02:00:00,DE-LU,price.day_ahead,56.1,energy_charts
2023-01-16T03:00:00,DE-LU,price.day_ahead,63.3,energy_charts
2023-01-16T04:00:00,DE-LU,price.day_ahead,87.0,energy_charts
2023-01-16T05:00:00,DE-LU,price.day_ahead,154.63,energy_charts
2023-01-16T06:00:00,DE-LU,price.day_ahead,175.11,energy_charts
2023-01-16T07:00:00,DE-LU,price.day_ahead,185.99,energy_charts
2023-01-16T08:00:00,DE-LU,price.day_ahead,170.0,energy_charts
2023-01-16T09:00:00,DE-LU,price.day_ahead,150.2,energy_charts
2023-01-16T10:00:00,DE-LU,price.day_ahead,150.89,energy_charts
2023-01-16T11:00:00,DE-LU,price.day_ahead,147.04,energy_charts
2023-01-16T12:00:00,DE-LU,price.day_ahead,140.87,energy_charts
2023-01-16T13:00:00,DE-LU,price.day_ahead,141.24,energy_charts
